(z2,s3,pot_s3,s2,pot_s2,z1,s1,pot_s1,s0)
287:(0,0,9,0,6,0,0,9,1)
288:(0,0,9,0,6,0,0,12,0)
289:(0,0,9,0,6,0,0,12,1)
290:(0,0,9,0,6,0,1,11,0)
291:(0,0,9,0,6,0,1,11,1)
292:(0,0,9,0,6,0,1,14,0)
293:(0,0,9,0,6,0,1,14,1)
294:(0,0,9,0,9,0,0,0,0)
295:(0,0,9,0,9,0,0,0,1)
296:(0,0,9,0,9,0,0,3,0)
297:(0,0,9,0,9,0,0,3,1)
298:(0,0,9,0,9,0,0,6,0)
299:(0,0,9,0,9,0,0,6,1)
300:(0,0,9,0,9,0,0,9,0)
301:(0,0,9,0,9,0,0,9,1)
302:(0,0,9,0,9,0,0,12,0)
303:(0,0,9,0,9,0,0,12,1)
304:(0,0,9,0,9,0,1,11,0)
305:(0,0,9,0,9,0,1,11,1)
306:(0,0,9,0,9,0,1,14,0)
307:(0,0,9,0,9,0,1,14,1)
308:(0,0,9,1,9,0,0,0,0)
309:(0,0,9,1,9,0,0,0,1)
310:(0,0,9,1,9,0,0,3,0)
311:(0,0,9,1,9,0,0,3,1)
312:(0,0,9,1,9,0,0,6,0)
313:(0,0,9,1,9,0,0,6,1)
314:(0,0,9,1,9,0,0,9,0)
315:(0,0,9,1,9,0,0,9,1)
316:(0,0,9,1,9,0,0,12,0)
317:(0,0,9,1,9,0,0,12,1)
318:(0,0,9,1,9,0,1,11,0)
319:(0,0,9,1,9,0,1,11,1)
320:(0,0,9,1,9,0,1,14,0)
321:(0,0,9,1,9,0,1,14,1)
322:(0,0,9,1,12,0,0,0,0)
323:(0,0,9,1,12,0,0,0,1)
324:(0,0,9,1,12,0,0,3,0)
325:(0,0,9,1,12,0,0,3,1)
326:(0,0,9,1,12,0,0,6,0)
327:(0,0,9,1,12,0,0,6,1)
328:(0,0,9,1,12,0,0,9,0)
329:(0,0,9,1,12,0,0,9,1)
330:(0,0,9,1,12,0,0,12,0)
331:(0,0,9,1,12,0,0,12,1)
332:(0,0,9,1,12,0,1,11,0)
333:(0,0,9,1,12,0,1,11,1)
334:(0,0,9,1,12,0,1,14,0)
335:(0,0,9,1,12,0,1,14,1)
336:(0,1,9,0,0,0,0,0,0)
337:(0,1,9,0,0,0,0,0,1)
338:(0,1,9,0,0,0,0,3,0)
339:(0,1,9,0,0,0,0,3,1)
340:(0,1,9,0,0,0,0,6,0)
341:(0,1,9,0,0,0,0,6,1)
342:(0,1,9,0,0,0,0,9,0)
343:(0,1,9,0,0,0,0,9,1)
344:(0,1,9,0,0,0,0,12,0)
345:(0,1,9,0,0,0,0,12,1)
346:(0,1,9,0,0,0,1,11,0)
347:(0,1,9,0,0,0,1,11,1)
348:(0,1,9,0,0,0,1,14,0)
349:(0,1,9,0,0,0,1,14,1)
350:(0,1,9,0,3,0,0,0,0)
351:(0,1,9,0,3,0,0,0,1)
352:(0,1,9,0,3,0,0,3,0)
353:(0,1,9,0,3,0,0,3,1)
354:(0,1,9,0,3,0,0,6,0)
